ID,DateFounded,Headquarters,Type,Industry,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,AnnualRevenue
Company16,10/21/2011,New York,Tech,Finance,2,3.0,4.0,3.0,1,4,5,5,5,5,2,5,5.0,0,0,0,0,0,3,2,1,1,1,0,0,0.0,0.0,3.0,3.0,0,
Company17,08/24/1996,San Jose,Tech,Services,2,5.0,4.0,4.0,2,2,5,4,5,5,5,2,5.0,3,0,4,1,0,4,5,1,1,1,0,0,5.0,0.0,1.0,1.0,0,
Company18,08/08/2013,Minneapolis,Non-Tech,Services,9,6.0,4.5,7.5,4,4,10,10,10,5,4,10,7.5,0,0,0,0,0,10,3,3,1,5,0,0,0.0,0.0,2.0,7.5,0,
Company19,11/16/2011,Indianapolis,Non-Tech,Services,6,4.5,6.0,7.5,6,4,10,10,10,10,2,10,7.5,0,0,0,0,0,25,3,3,1,10,0,0,0.0,0.0,5.0,2.5,0,54442000.0
Company20,05/01/1998,San Francisco,Tech,Services,4,5.0,4.0,5.0,2,2,5,4,4,5,5,3,5.0,4,3,4,5,4,2,5,5,5,3,0,5,5.0,0.0,4.0,2.0,0,
Company21,10/06/2006,Miami,Non-Tech,Finance,2,5.0,4.0,4.0,2,1,2,4,4,5,3,5,5.0,0,0,0,0,0,3,3,1,1,1,0,0,0.0,0.0,3.0,3.0,0,
Company22,08/07/2013,New York,Tech,Finance,6,4.5,6.0,6.0,2,2,5,6,8,8,10,6,6.0,0,0,0,0,0,10,12,6,2,10,0,0,0.0,0.0,5.0,7.5,0,
Company23,11/22/2007,Los Angeles,Non-Tech,Finance,6,6.0,6.0,6.0,2,6,10,10,10,10,2,5,7.5,0,0,0,0,1,5,6,1,1,5,1,0,0.0,0.0,5.0,7.5,0,
Company24,12/23/2005,Boulder,Non-Tech,Services,5,5.0,4.0,4.0,2,3,5,5,4,5,2,5,5.0,0,4,0,4,4,5,5,2,4,3,3,3,1.0,4.0,5.0,3.0,0,
Company25,11/22/2007,San Francisco,Tech,Finance,6,4.5,6.0,6.0,2,6,5,10,10,10,10,10,7.5,0,0,0,0,0,5,6,6,1,5,8,0,0.0,0.0,5.0,7.5,0,
Company26,05/03/2009,Detroit,Non-Tech,Finance,2,5.0,4.0,3.0,1,2,5,5,4,5,3,5,5.0,0,0,0,0,0,5,4,5,3,4,0,0,0.0,0.0,2.0,2.0,0,
Company27,03/28/2009,San Jose,Tech,Services,2,3.0,4.0,3.0,2,1,4,3,4,5,3,5,5.0,3,2,3,1,3,2,4,2,2,1,5,5,5.0,3.0,2.0,3.0,3,
Company28,03/15/2011,Boulder,Non-Tech,Services,2,3.0,4.0,4.0,1,2,5,4,4,4,1,3,4.0,0,2,4,2,4,5,5,2,2,3,5,3,2.0,1.0,2.0,3.0,3,
Company29,05/03/2013,Los Angeles,Non-Tech,Services,4,5.0,5.0,4.0,2,2,3,3,4,4,1,5,4.0,3,4,3,0,1,2,1,2,3,1,0,0,3.0,4.0,2.0,3.0,4,
Company30,05/01/2013,San Diego,Non-Tech,Finance,12,4.0,4.0,3.0,1,1,5,5,10,5,6,5,7.5,0,0,0,0,0,10,15,2,4,10,0,0,0.0,0.0,1.0,2.0,0,
Company31,10/04/2013,San Francisco,Tech,Finance,12,7.5,4.5,6.0,4,4,10,8,4,10,10,8,7.5,0,0,0,0,0,20,15,15,1,15,0,0,0.0,0.0,5.0,7.5,0,
Company32,09/01/2010,San Francisco,Tech,Finance,12,7.5,3.0,5.0,2,1,1,4,4,8,3,3,5.0,0,0,15,0,12,1,1,12,1,1,6,0,0.0,0.0,2.0,3.0,0,
Company33,09/03/2010,San Francisco,Tech,Finance,3,4.0,4.0,4.0,2,2,5,5,5,5,1,4,5.0,0,0,0,0,0,1,5,1,4,3,0,0,0.0,0.0,5.0,2.0,0,
Company34,04/10/1997,San Francisco,Tech,Services,12,7.5,6.0,7.5,2,8,10,8,8,8,10,6,6.0,15,8,12,6,9,25,15,9,5,15,6,10,10.0,5.0,12.5,2.5,25,42866000.0
Company35,10/06/2007,Los Angeles,Non-Tech,Finance,3,4.0,5.0,3.0,2,2,10,8,5,5,3,5,5.0,0,0,0,0,0,2,12,1,1,1,0,0,0.0,0.0,2.0,3.0,0,
Company36,09/26/2003,"Washington, D.C.",Non-Tech,Finance,3,4.0,5.0,3.0,1,3,5,5,5,5,2,5,5.0,0,0,0,0,0,3,3,2,2,1,0,0,0.0,0.0,3.0,3.0,0,
Company37,10/15/2012,San Francisco,Tech,Services,3,5.0,4.0,4.0,2,1,5,5,5,5,2,5,5.0,3,0,0,0,3,3,4,2,1,4,3,4,2.0,0.0,5.0,1.0,5,
Company38,08/20/2004,San Francisco,Tech,Services,4,5.0,5.0,3.0,1,5,5,5,5,5,2,5,5.0,1,2,4,1,3,2,5,4,2,2,3,2,2.0,0.0,2.0,2.0,5,
Company39,02/27/2013,Miami,Non-Tech,Finance,4,5.0,4.0,4.0,2,4,3,4,5,4,3,5,4.0,0,0,3,0,0,3,3,1,1,2,0,0,0.0,0.0,1.0,3.0,0,
Company40,11/29/2008,Atlanta,Non-Tech,Finance,2,3.0,6.0,4.0,1,3,5,4,5,4,3,5,4.0,9,2,0,0,0,3,4,1,3,3,0,0,0.0,2.0,2.0,3.0,5,
Company41,11/25/2011,Philadelphia,Non-Tech,Finance,3,4.0,3.0,4.0,2,2,5,5,5,5,1,5,5.0,0,0,0,0,0,3,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,
Company42,05/06/2013,Atlanta,Non-Tech,Services,9,6.0,4.0,4.0,1,3,5,5,5,5,3,10,5.0,0,0,0,0,0,3,15,1,2,1,0,0,0.0,0.0,2.0,3.0,0,
Company43,04/14/2009,Los Angeles,Non-Tech,Finance,5,5.0,4.0,5.0,2,4,5,5,4,4,5,8,4.0,0,4,12,0,0,5,5,3,1,3,0,0,0.0,12.5,2.0,7.5,0,
Company44,08/18/2005,New York,Tech,Other,1,3.0,0.0,5.0,5,5,1,5,5,5,2,5,5.0,0,0,0,0,0,1,2,2,1,2,0,0,0.0,0.0,2.0,3.0,0,38100000.0
Company45,11/14/2012,San Francisco,Tech,Finance,4,5.0,4.0,6.0,4,2,10,4,10,10,3,10,5.0,3,4,5,0,4,4,15,1,5,1,3,0,2.0,3.0,7.5,3.0,5,
Company46,11/17/1995,Philadelphia,Non-Tech,Finance,4,5.0,5.0,4.0,1,5,5,4,4,4,2,4,4.0,0,0,0,0,0,3,5,3,2,2,0,0,0.0,0.0,4.0,2.0,0,
Company47,09/10/1998,New York,Tech,Other,5,5.0,4.0,4.0,2,2,5,4,4,4,4,3,4.0,0,0,0,0,5,4,5,1,3,1,0,0,0.0,0.0,3.0,1.0,0,
Company48,10/05/2010,Miami,Non-Tech,Services,4,5.0,4.0,4.0,6,3,5,5,5,5,2,5,5.0,0,0,0,0,0,4,4,1,4,2,0,0,0.0,0.0,3.0,3.0,0,
Company49,09/01/2010,Dallas,Non-Tech,Finance,1,3.0,3.0,5.0,2,1,1,4,4,5,3,3,5.0,0,0,0,0,0,1,1,1,1,1,0,2,0.0,0.0,2.0,3.0,0,
Company50,02/21/2013,Portland,Non-Tech,Services,4,5.0,4.0,5.0,2,2,1,5,4,5,1,5,5.0,0,0,0,0,0,2,5,1,1,1,0,0,0.0,0.0,5.0,3.0,0,
Company51,03/31/2011,New York,Tech,Finance,4,5.0,4.0,4.0,1,2,5,4,5,4,1,4,4.0,0,0,0,0,0,5,5,1,2,1,0,0,0.0,0.0,4.0,2.0,0,
Company52,07/14/2000,Boston,Non-Tech,Finance,1,5.0,4.0,4.0,2,1,1,5,4,5,2,5,4.0,0,0,1,0,1,1,1,1,1,4,1,0,1.0,0.0,5.0,1.0,0,
Company53,10/26/2009,Omaha,Non-Tech,Services,3,4.0,4.0,4.0,2,3,5,5,5,5,2,5,5.0,0,4,4,0,4,3,5,2,1,1,2,0,2.0,1.0,3.0,3.0,0,
Company54,03/27/2013,Boulder,Non-Tech,Finance,2,4.5,4.0,4.0,2,1,1,5,4,4,10,4,4.0,0,0,0,0,12,1,1,1,3,20,0,10,0.0,0.0,1.0,2.0,0,
Company55,12/30/2011,San Francisco,Tech,Finance,4,5.0,4.0,5.0,1,5,5,3,4,4,3,4,4.0,0,0,5,0,0,5,5,5,3,5,0,0,0.0,0.0,4.0,2.0,0,
Company56,11/26/2010,San Francisco,Tech,Finance,3,5.0,3.0,4.0,2,3,5,4,4,5,3,4,5.0,0,0,0,0,0,2,1,2,3,1,0,0,0.0,0.0,4.0,3.0,0,
Company57,11/27/2008,San Francisco,Tech,Finance,12,6.0,6.0,4.0,1,10,10,8,10,10,4,10,7.5,0,0,12,9,12,3,15,2,1,1,10,10,0.0,10.0,5.0,7.5,15,
Company58,06/17/2010,San Jose,Tech,Services,4,5.0,2.0,4.0,1,5,5,4,4,5,3,5,5.0,4,4,0,0,0,4,3,2,1,1,0,2,0.0,0.0,2.0,3.0,0,
Company59,03/16/2007,Philadelphia,Non-Tech,Finance,4,4.0,2.0,4.0,3,4,5,4,4,5,5,4,5.0,0,10,0,0,0,25,2,2,3,3,0,0,0.0,0.0,5.0,3.0,0,
Company60,08/05/2011,San Francisco,Tech,Finance,4,5.0,4.0,5.0,4,2,5,4,4,5,5,4,5.0,0,0,0,0,0,5,5,5,3,5,0,0,0.0,0.0,5.0,0.0,0,
Company61,04/18/2008,Boulder,Non-Tech,Finance,3,4.0,4.0,6.0,2,2,5,5,5,5,1,10,5.0,0,0,4,0,0,2,2,1,2,1,0,0,0.0,0.0,3.0,3.0,0,
Company62,08/02/2011,Bellevue,Non-Tech,Services,2,4.0,4.0,4.0,2,3,5,4,4,5,5,4,5.0,0,5,0,0,0,5,5,3,3,4,0,0,0.0,0.0,2.0,3.0,0,
Company63,10/12/2013,New York,Tech,Services,12,2.0,4.0,4.0,4,1,1,5,4,4,1,10,7.5,0,0,4,2,0,20,9,6,4,1,0,0,0.0,5.0,5.0,7.5,5,
Company64,07/12/2013,San Francisco,Tech,Finance,2,3.0,4.0,5.0,2,1,5,3,5,4,5,3,4.0,0,0,0,0,0,3,5,2,3,2,0,0,0.0,0.0,4.0,2.0,0,
Company65,11/05/2011,Boston,Non-Tech,Services,1,4.5,6.0,6.0,1,4,1,8,8,8,10,6,6.0,0,10,15,0,12,25,1,6,3,20,8,0,10.0,0.0,7.5,5.0,0,
Company66,12/03/2013,New York,Tech,Services,2,5.0,4.0,5.0,2,3,5,4,4,4,2,4,5.0,0,0,5,2,0,5,4,2,1,3,2,0,0.0,1.0,3.0,1.0,3,
Company67,11/13/2013,Minneapolis,Non-Tech,Finance,4,5.0,2.0,4.0,2,1,5,4,4,4,3,4,4.0,0,0,0,0,0,5,2,2,1,2,0,0,0.0,0.0,2.0,3.0,0,
Company68,10/26/2009,San Francisco,Tech,Services,4,7.5,6.0,6.0,4,3,5,5,5,8,8,8,6.0,0,0,0,0,0,15,5,6,4,10,2,0,0.0,0.0,7.5,5.0,5,
Company69,01/01/2000,San Francisco,Tech,Services,3,5.0,4.0,4.0,2,3,5,5,4,5,2,4,5.0,1,2,3,1,4,2,3,1,3,1,2,1,2.0,3.0,3.0,3.0,5,
Company70,11/25/2011,Buffalo,Non-Tech,Finance,3,4.0,3.0,4.0,2,2,5,4,4,5,5,4,5.0,0,0,0,0,0,3,5,1,1,4,0,0,0.0,0.0,1.0,3.0,0,
Company71,07/16/2012,Atlanta,Non-Tech,Finance,2,5.0,4.0,5.0,1,3,5,5,4,5,3,5,5.0,0,0,3,0,4,3,5,2,2,3,0,4,0.0,0.0,3.0,1.0,0,
Company72,03/29/2013,Louisville,Non-Tech,Finance,3,5.0,4.0,4.0,2,4,5,5,5,5,1,5,5.0,0,0,0,0,0,3,1,1,2,2,0,0,0.0,0.0,4.0,3.0,0,
Company73,05/01/2013,New York,Tech,Finance,2,4.0,4.0,3.0,1,1,5,5,5,5,1,5,5.0,0,0,0,0,0,1,5,1,2,1,0,0,0.0,0.0,1.0,3.0,0,
Company74,07/23/2011,San Francisco,Tech,Finance,9,6.0,4.0,3.0,4,4,10,10,10,10,4,5,7.5,0,0,5,0,0,10,1,1,1,1,0,0,0.0,1.0,3.0,2.0,5,
Company75,04/03/2010,San Francisco,Tech,Finance,3,2.0,4.0,4.0,2,2,5,5,4,5,4,4,5.0,0,0,0,0,0,1,4,1,1,1,0,0,0.0,0.0,1.0,3.0,0,
Company76,11/05/2009,San Francisco,Tech,Services,3,5.0,4.0,5.0,2,3,5,5,5,5,4,4,5.0,3,4,4,0,0,5,4,2,1,3,5,0,0.0,0.0,4.0,3.0,5,
Company77,06/04/1996,New York,Tech,Services,2,4.0,5.0,4.0,2,2,5,5,5,5,3,5,5.0,0,1,0,0,0,5,1,4,1,5,0,1,1.0,3.0,4.0,1.0,0,
Company78,03/30/2002,Cleveland,Non-Tech,Services,4,4.0,4.0,5.0,3,2,5,4,4,4,3,5,4.0,0,0,0,0,0,5,4,1,4,2,0,0,0.0,0.0,1.0,2.0,0,
Company79,06/01/2010,Dallas,Non-Tech,Services,9,7.5,6.0,4.0,4,4,10,2,6,8,4,2,6.0,9,4,4,15,15,25,5,3,1,5,10,10,5.0,3.0,7.5,2.5,25,
Company80,10/11/2010,Atlanta,Non-Tech,Services,3,4.0,4.0,4.0,2,2,5,4,5,5,4,5,5.0,3,4,4,2,4,3,5,1,5,4,3,3,3.0,3.0,5.0,3.0,5,
Company81,07/20/2007,San Francisco,Tech,Finance,3,5.0,4.0,5.0,2,3,5,5,5,5,2,5,5.0,0,0,4,0,0,3,4,1,3,1,1,2,0.0,3.0,2.0,3.0,1,
Company82,12/03/2012,Durham,Non-Tech,Services,3,5.0,4.0,4.0,2,1,5,5,5,5,2,5,5.0,3,4,4,3,4,5,5,2,2,3,5,4,0.0,4.0,3.0,3.0,5,
Company83,06/28/2012,Dallas,Non-Tech,Finance,2,4.0,4.0,4.0,2,2,5,4,5,5,4,5,4.0,0,0,0,0,0,3,3,1,1,1,0,0,0.0,0.0,2.0,3.0,0,
Company84,08/13/2009,San Francisco,Tech,Finance,4,5.0,4.0,4.0,1,5,5,4,4,4,4,3,4.0,0,0,0,0,0,5,5,5,5,1,0,0,0.0,0.0,3.0,3.0,0,
Company85,03/30/2002,San Jose,Tech,Finance,4,5.0,4.0,4.0,1,4,5,5,5,5,2,5,5.0,0,0,0,0,0,3,3,1,4,2,0,0,0.0,0.0,3.0,3.0,0,
Company86,06/07/2013,San Francisco,Tech,Services,4,5.0,6.0,4.0,2,2,5,4,4,4,4,4,3.0,0,0,0,3,0,5,5,3,4,4,0,0,0.0,0.0,5.0,1.0,0,
Company87,07/10/2013,Los Angeles,Non-Tech,Finance,1,3.0,4.0,5.0,2,2,5,5,5,5,1,5,5.0,0,0,0,0,0,1,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,
Company88,06/06/2003,San Francisco,Tech,Services,3,5.0,5.0,4.0,2,5,5,4,5,4,4,5,4.0,0,0,0,0,0,5,5,3,1,2,0,0,0.0,0.0,5.0,1.0,0,
Company89,09/13/2006,San Francisco,Tech,Finance,2,3.0,4.0,4.0,2,2,5,4,5,5,2,4,5.0,0,0,0,0,0,3,1,1,1,1,0,0,0.0,0.0,1.0,3.0,0,
Company90,04/12/2012,Detroit,Non-Tech,Finance,9,6.0,6.0,6.0,4,2,1,10,4,10,1,4,5.0,0,0,0,0,0,5,1,1,4,1,0,0,0.0,0.0,1.0,3.0,0,
Company91,02/15/2010,Austin,Non-Tech,Services,6,6.0,3.0,7.5,6,10,4,10,10,10,3,4,7.5,3,0,0,3,0,25,6,9,1,2,0,0,0.0,0.0,2.0,3.0,0,
Company92,02/27/2013,Chicago,Non-Tech,Finance,2,2.0,4.0,3.0,1,3,1,5,5,4,3,5,5.0,0,2,4,0,0,2,1,1,1,1,0,4,0.0,0.0,1.0,2.0,0,
Company93,07/15/2013,Boulder,Non-Tech,Finance,2,2.0,4.0,4.0,2,3,2,4,8,5,10,4,6.0,0,0,0,0,0,10,12,6,2,10,0,0,0.0,0.0,2.0,7.5,0,
Company94,02/07/2009,Palo Alto,Non-Tech,Finance,2,5.0,4.0,5.0,2,4,5,5,4,4,1,3,5.0,0,0,0,0,0,5,5,2,5,1,0,0,0.0,0.0,5.0,0.0,0,
Company95,08/07/2013,San Jose,Tech,Finance,2,4.0,6.0,4.0,2,2,5,5,5,8,2,5,4.0,0,0,4,0,0,10,1,2,1,1,0,2,0.0,0.0,5.0,3.0,0,
Company96,12/20/1997,San Francisco,Tech,Services,4,5.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,4,4,5,5,5,5,5,2,4,4,5,5,5.0,1.0,3.0,2.0,4,
Company97,02/06/2007,San Francisco,Tech,Finance,2,5.0,4.0,4.0,1,1,3,4,5,4,3,3,4.0,0,0,0,0,0,3,2,1,2,5,0,0,0.0,0.0,1.0,3.0,0,
Company98,03/19/2012,San Francisco,Tech,Finance,12,7.5,6.0,7.5,4,6,10,2,8,8,10,2,6.0,9,8,15,15,0,25,15,15,2,15,0,0,0.0,2.5,10.0,2.5,0,
Company99,06/01/2012,Dallas,Non-Tech,Finance,2,5.0,4.0,4.0,1,2,5,5,5,5,2,5,5.0,1,2,4,1,3,3,3,1,1,1,2,4,4.0,0.0,2.0,3.0,5,
Company100,03/16/2006,New York,Tech,Services,3,4.0,5.0,3.0,2,4,5,4,4,5,5,5,5.0,1,0,2,0,4,2,5,4,3,3,0,0,0.0,0.0,3.0,3.0,0,
Company101,08/19/2006,Tucson,Non-Tech,Finance,3,4.0,4.0,4.0,2,2,5,4,4,5,4,4,5.0,0,0,0,0,0,5,5,4,3,2,1,0,0.0,0.0,4.0,1.0,0,
Company102,06/24/2011,Boulder,Non-Tech,Services,3,3.0,4.0,4.0,1,2,5,5,5,4,2,5,5.0,2,4,4,2,4,5,5,2,2,3,5,2,2.0,4.0,4.0,3.0,5,
Company103,08/06/2009,Denver,Non-Tech,Finance,5,5.0,4.0,4.0,2,1,2,4,4,5,3,8,5.0,0,0,0,0,0,5,3,1,1,2,0,0,0.0,0.0,4.0,3.0,0,
Company104,04/22/2010,San Francisco,Tech,Finance,2,3.0,4.0,3.0,1,1,3,5,5,5,1,5,5.0,0,0,0,0,0,1,5,1,2,1,0,0,0.0,0.0,1.0,3.0,0,
Company105,06/18/2007,San Francisco,Tech,Finance,4,5.0,4.0,4.0,2,4,5,5,5,5,2,4,5.0,2,0,2,0,5,3,3,3,4,1,1,4,1.0,0.0,2.0,1.0,0,
Company106,04/04/2012,Seattle,Non-Tech,Finance,4,5.0,4.0,5.0,2,2,5,4,4,5,4,4,5.0,0,0,0,0,0,5,4,3,1,3,0,0,0.0,0.0,5.0,0.0,0,
Company107,11/19/2009,Chicago,Non-Tech,Services,3,1.5,4.5,4.5,4,2,2,10,4,10,1,5,7.5,3,0,0,0,0,4,3,3,1,5,0,0,5.0,0.0,2.5,7.5,0,
Company108,08/13/2011,San Francisco,Tech,Services,4,5.0,3.0,4.0,2,2,1,4,4,5,4,4,5.0,3,0,5,3,4,3,1,3,5,1,0,0,0.0,0.0,4.0,3.0,0,
Company109,08/20/2011,Chicago,Non-Tech,Finance,3,6.0,4.0,7.5,1,3,5,5,10,5,1,5,5.0,0,0,0,0,0,1,3,3,3,5,0,0,0.0,0.0,2.0,3.0,0,
Company110,11/17/2009,San Francisco,Tech,Finance,5,5.0,3.0,4.0,2,4,5,4,4,5,3,3,5.0,4,2,0,4,3,4,5,1,1,1,3,0,0.0,5.0,2.0,3.0,4,
Company111,10/10/2013,Louisville,Non-Tech,Finance,3,4.0,5.0,3.0,2,3,5,5,5,5,2,5,5.0,0,0,0,0,0,2,3,2,2,2,0,0,0.0,0.0,3.0,2.0,0,
Company112,06/25/2008,Bellevue,Non-Tech,Finance,2,3.0,3.0,5.0,4,2,4,4,4,4,4,4,4.0,0,0,0,0,0,4,3,2,1,1,0,0,0.0,0.0,2.0,3.0,0,57876000.0
Company113,10/17/2008,San Francisco,Tech,Finance,2,7.5,4.0,4.0,2,2,10,4,5,5,5,5,5.0,0,0,0,0,0,10,1,1,1,1,0,0,0.0,0.0,2.0,3.0,0,
Company114,12/28/2011,New York,Tech,Services,4,5.0,4.0,3.0,1,2,1,3,4,5,1,4,5.0,0,0,0,0,0,5,4,5,5,1,0,0,0.0,0.0,1.0,0.0,0,
Company115,04/22/2010,Chicago,Non-Tech,Finance,2,6.0,5.0,4.0,2,3,10,5,5,5,4,5,7.5,0,0,0,0,0,4,3,3,5,2,0,0,0.0,0.0,10.0,3.0,0,
Company116,03/30/2002,Columbus,Non-Tech,Finance,4,3.0,6.0,4.0,1,6,5,5,5,5,2,5,5.0,0,4,0,0,3,5,6,1,1,5,0,4,0.0,5.0,3.0,3.0,5,
Company117,05/29/2013,San Francisco,Tech,Finance,5,5.0,4.0,4.0,3,2,5,5,5,4,2,5,4.0,0,0,0,0,0,3,1,1,2,1,0,0,0.0,0.0,3.0,3.0,0,
Company118,02/29/2012,Oklahoma City,Non-Tech,Finance,3,4.0,4.0,3.0,2,1,5,4,5,5,4,5,5.0,0,0,0,0,0,3,4,1,1,1,0,0,0.0,0.0,1.0,3.0,0,
Company119,01/26/2009,San Francisco,Tech,Finance,3,5.0,4.0,4.0,1,4,5,4,5,4,4,5,4.0,0,0,0,0,0,4,5,2,4,5,0,0,0.0,0.0,5.0,1.0,0,66948000.0
Company120,05/06/2013,Sacramento,Non-Tech,Finance,5,5.0,4.0,5.0,2,4,5,4,4,4,5,4,4.0,0,0,0,0,0,3,5,3,5,3,0,0,0.0,0.0,5.0,0.0,0,
Company121,12/28/2010,Mountain View,Non-Tech,Services,3,5.0,5.0,3.0,1,5,5,5,5,5,2,4,5.0,1,0,0,0,4,2,5,1,2,1,0,2,5.0,0.0,1.0,2.0,4,
Company122,11/27/2008,San Francisco,Tech,Finance,2,3.0,4.0,4.0,1,5,5,4,5,5,3,5,5.0,0,0,0,0,0,3,5,1,5,1,0,0,0.0,0.0,4.0,2.0,0,
Company123,08/24/1996,San Jose,Tech,Services,4,5.0,4.0,4.0,2,2,5,4,5,5,4,5,5.0,0,0,0,0,0,5,5,4,3,5,0,5,0.0,0.0,3.0,2.0,0,
Company124,02/09/2010,Houston,Non-Tech,Finance,4,5.0,4.0,4.0,1,3,5,5,5,5,10,5,5.0,2,2,4,2,4,5,1,1,3,5,3,3,3.0,4.0,7.5,2.0,5,
Company125,10/10/2011,Boston,Non-Tech,Finance,3,3.0,5.0,4.0,2,2,5,4,5,5,1,5,5.0,0,0,0,0,0,2,4,2,3,1,0,0,0.0,0.0,2.0,2.0,0,
Company126,04/04/2008,San Diego,Non-Tech,Services,12,3.0,4.0,6.0,2,4,5,8,4,10,6,5,7.5,15,8,3,15,4,20,15,2,3,4,3,6,7.5,7.5,5.0,7.5,20,
Company127,02/07/2007,Boston,Non-Tech,Finance,2,5.0,4.0,4.0,1,4,5,5,4,5,1,5,5.0,0,0,0,0,0,2,4,2,2,3,0,0,0.0,0.0,3.0,3.0,0,
Company128,12/07/2004,San Francisco,Tech,Other,4,5.0,3.0,4.0,2,3,5,4,5,5,2,5,5.0,0,0,0,0,5,2,5,2,2,5,0,0,0.0,0.0,2.0,2.0,0,
Company129,09/06/1996,San Francisco,Tech,Services,4,5.0,4.0,4.0,2,4,5,4,5,5,4,4,4.0,3,5,5,4,4,3,5,1,5,2,3,4,3.0,1.0,3.0,3.0,2,
Company130,01/27/2005,New York,Tech,Finance,4,4.5,6.0,7.5,1,4,5,8,5,5,8,5,5.0,0,0,0,0,0,3,15,12,4,15,0,0,0.0,0.0,2.0,7.5,0,
Company131,08/19/2006,Los Angeles,Non-Tech,Finance,3,4.0,4.0,4.0,2,2,5,4,4,5,4,4,5.0,0,0,0,0,0,5,5,4,3,2,0,0,0.0,0.0,4.0,1.0,0,
Company132,12/07/2004,San Francisco,Tech,Services,4,5.0,4.0,4.0,2,2,5,4,5,5,3,5,5.0,0,0,4,0,5,4,3,2,2,4,0,0,0.0,5.0,3.0,3.0,5,
Company133,11/25/2008,San Francisco,Tech,Finance,3,4.0,2.0,4.0,2,3,5,5,5,4,2,5,5.0,0,0,0,4,4,2,2,1,1,2,5,5,0.0,0.0,3.0,2.0,0,
